List,reference,Source,plant,Cultivar,compound,subC,family,Class,concentration,SD,unit,plant_part,plant_material,method,Season,location,year,DM,percDM,n,Treatment,T.conc
1,Anderson_et_al.2009,Journal_article,Medicago_sativa,Pondus,Chrysin,Chrysin,Flavone,Flavonoid,2.5,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
2,Anderson_et_al.2009,Journal_article,Medicago_sativa,Pondus,Naringenin,Naringenin,Flavanone,Flavonoid,87,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
3,Anderson_et_al.2009,Journal_article,Medicago_sativa,Pondus,BiochaninA,BiochaninA,Isoflavonoid,Phytoestrogen,11.5,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
4,Anderson_et_al.2009,Journal_article,Medicago_sativa,Pondus,Formononetin,Formononetin,Isoflavonoid,Phytoestrogen,156,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
5,Anderson_et_al.2009,Journal_article,Medicago_sativa,Pondus,Glycitein,Glycitein,Isoflavonoid,Phytoestrogen,6,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
6,Anderson_et_al.2009,Journal_article,Trifolium_repens,Milo,Chrysin,Chrysin,Flavone,Flavonoid,3.5,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
7,Anderson_et_al.2009,Journal_article,Trifolium_repens,Milo,Naringenin,Naringenin,Flavanone,Flavonoid,31.5,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
8,Anderson_et_al.2009,Journal_article,Trifolium_repens,Milo,BiochaninA,BiochaninA,Isoflavonoid,Phytoestrogen,17,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
9,Anderson_et_al.2009,Journal_article,Trifolium_repens,Milo,Formononetin,Formononetin,Isoflavonoid,Phytoestrogen,405,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
10,Anderson_et_al.2009,Journal_article,Trifolium_repens,Milo,Glycitein,Glycitein,Isoflavonoid,Phytoestrogen,8.5,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
11,Anderson_et_al.2009,Journal_article,Trifolium_pratense,Rajah,Chrysin,Chrysin,Flavone,Phytoestrogen,4.5,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
12,Anderson_et_al.2009,Journal_article,Trifolium_pratense,Rajah,Naringenin,Naringenin,Flavanone,Phytoestrogen,175.5,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
13,Anderson_et_al.2009,Journal_article,Trifolium_pratense,Rajah,BiochaninA,BiochaninA,Isoflavonoid,Phytoestrogen,888.7,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
14,Anderson_et_al.2009,Journal_article,Trifolium_pratense,Rajah,Formononetin,Formononetin,Isoflavonoid,Phytoestrogen,11420,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
15,Anderson_et_al.2009,Journal_article,Trifolium_pratense,Rajah,Glycitein,Glycitein,Isoflavonoid,Phytoestrogen,913,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
16,Anderson_et_al.2009,Journal_article,Chicorium_intybus,Puna,Chrysin,Chrysin,Flavone,Phytoestrogen,64.5,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
17,Anderson_et_al.2009,Journal_article,Chicorium_intybus,Puna,Naringenin,Naringenin,Flavanone,Phytoestrogen,72.5,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
18,Anderson_et_al.2009,Journal_article,Chicorium_intybus,Puna,BiochaninA,BiochaninA,Isoflavonoid,Phytoestrogen,3.5,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
19,Anderson_et_al.2009,Journal_article,Chicorium_intybus,Puna,Formononetin,Formononetin,Isoflavonoid,Phytoestrogen,60,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
20,Anderson_et_al.2009,Journal_article,Chicorium_intybus,Puna,Glycitein,Glycitein,Isoflavonoid,Phytoestrogen,37.5,,mg.kgDM,aerial,aerial,LCMS,Summer,Denmark,2006,,,,,
21,Hloucalova_et_al.2016,Journal_article,Medicago_sativa,Holyna,BiochaninA,BiochaninA,Isoflavonoid,Phytoestrogen,0.105,0.11,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
22,Hloucalova_et_al.2016,Journal_article,Medicago_sativa,Holyna,Formononetin,Formononetin,Isoflavonoid,Phytoestrogen,0.141,0.12,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
23,Hloucalova_et_al.2016,Journal_article,Medicago_sativa,Holyna,Genistein,Genistein,Isoflavonoid,Phytoestrogen,0.014,0.01,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
24,Hloucalova_et_al.2016,Journal_article,Medicago_sativa,Holyna,Ononin,Ononin,Isoflavonoid,Phytoestrogen,0.173,0.07,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
25,Hloucalova_et_al.2016,Journal_article,Medicago_sativa,Holyna,Sissotrin,Sissotrin,Isoflavonoid,Phytoestrogen,0.071,0.02,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
26,Hloucalova_et_al.2016,Journal_article,Medicago_sativa,Holyna,Daidzein,Daidzein,Isoflavonoid,Phytoestrogen,0.057,0.02,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
27,Hloucalova_et_al.2016,Journal_article,Medicago_sativa,Holyna,Daidzin,Daidzin,Isoflavonoid,Phytoestrogen,0.005,0.01,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
28,Hloucalova_et_al.2016,Journal_article,Trifolium_pratense,Amos,BiochaninA,BiochaninA,Isoflavonoid,Phytoestrogen,3.697,1.4,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
29,Hloucalova_et_al.2016,Journal_article,Trifolium_pratense,Amos,Formononetin,Formononetin,Isoflavonoid,Phytoestrogen,4.315,1.55,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
30,Hloucalova_et_al.2016,Journal_article,Trifolium_pratense,Amos,Genistein,Genistein,Isoflavonoid,Phytoestrogen,0.177,0.06,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
31,Hloucalova_et_al.2016,Journal_article,Trifolium_pratense,Amos,Ononin,Ononin,Isoflavonoid,Phytoestrogen,0.943,0.35,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
32,Hloucalova_et_al.2016,Journal_article,Trifolium_pratense,Amos,Sissotrin,Sissotrin,Isoflavonoid,Phytoestrogen,0.462,0.2,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
33,Hloucalova_et_al.2016,Journal_article,Trifolium_pratense,Amos,Daidzein,Daidzein,Isoflavonoid,Phytoestrogen,0.232,0.11,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
34,Hloucalova_et_al.2016,Journal_article,Trifolium_pratense,Amos,Daidzin,Daidzin,Isoflavonoid,Phytoestrogen,0.185,0.07,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
35,Hloucalova_et_al.2016,Journal_article,Trifolium_resupinatum,,BiochaninA,BiochaninA,Isoflavonoid,Phytoestrogen,0.072,0.03,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
36,Hloucalova_et_al.2016,Journal_article,Trifolium_resupinatum,,Formononetin,Formononetin,Isoflavonoid,Phytoestrogen,0.202,0.07,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
37,Hloucalova_et_al.2016,Journal_article,Trifolium_resupinatum,,Genistein,Genistein,Isoflavonoid,Phytoestrogen,0.011,0.01,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
38,Hloucalova_et_al.2016,Journal_article,Trifolium_resupinatum,,Ononin,Ononin,Isoflavonoid,Phytoestrogen,0.218,0.04,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
39,Hloucalova_et_al.2016,Journal_article,Trifolium_resupinatum,,Sissotrin,Sissotrin,Isoflavonoid,Phytoestrogen,0.057,0.01,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
40,Hloucalova_et_al.2016,Journal_article,Trifolium_resupinatum,,Daidzein,Daidzein,Isoflavonoid,Phytoestrogen,0.051,0.01,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
41,Hloucalova_et_al.2016,Journal_article,Trifolium_resupinatum,,Daidzin,Daidzin,Isoflavonoid,Phytoestrogen,0.004,0,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
42,Hloucalova_et_al.2016,Journal_article,Trifolium_alexandrium,,BiochaninA,BiochaninA,Isoflavonoid,Phytoestrogen,0.314,0.2,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
43,Hloucalova_et_al.2016,Journal_article,Trifolium_alexandrium,,Formononetin,Formononetin,Isoflavonoid,Phytoestrogen,0.106,0.06,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
44,Hloucalova_et_al.2016,Journal_article,Trifolium_alexandrium,,Genistein,Genistein,Isoflavonoid,Phytoestrogen,0.033,0.02,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
45,Hloucalova_et_al.2016,Journal_article,Trifolium_alexandrium,,Ononin,Ononin,Isoflavonoid,Phytoestrogen,0.129,0.02,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
46,Hloucalova_et_al.2016,Journal_article,Trifolium_alexandrium,,Sissotrin,Sissotrin,Isoflavonoid,Phytoestrogen,0.186,0.1,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
47,Hloucalova_et_al.2016,Journal_article,Trifolium_alexandrium,,Daidzein,Daidzein,Isoflavonoid,Phytoestrogen,0.161,0.09,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
48,Hloucalova_et_al.2016,Journal_article,Trifolium_alexandrium,,Daidzin,Daidzin,Isoflavonoid,Phytoestrogen,0.016,0.01,mg.gDM,aerial,aerial,LCMS,Spring,Czech_Republic,2015,,,12,,
49,Mattioli_et_al.2016,Journal_article,Medicago_sativa,Unknown,a_tocopherol,a_tocopherol,Vitamin,Organic_compound,361.3,23.1,mg.kgDM,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
50,Mattioli_et_al.2016,Journal_article,Medicago_sativa,Unknown,y_tocopherol,y_tocopherol,Vitamin,Organic_compound,416,1.9,mg.kgDM,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
51,Mattioli_et_al.2016,Journal_article,Medicago_sativa,Unknown,d_tocopherol,d_tocopherol,Vitamin,Organic_compound,1.6,0.1,mg.kgDM,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
52,Mattioli_et_al.2016,Journal_article,Medicago_sativa,Unknown,a_tocotrieol,a_tocotrieol,Vitamin,Organic_compound,2.8,0.2,mg.kgDM,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
53,Mattioli_et_al.2016,Journal_article,Medicago_sativa,Unknown,y_tocotrienol,y_tocotrienol,Vitamin,Organic_compound,2.6,0.2,mg.kgDM,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
54,Mattioli_et_al.2016,Journal_article,Medicago_sativa,Unknown,Retinol,Retinol,Vitamin,Organic_compound,81.2,1.7,mg.kgDM,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
55,Mattioli_et_al.2016,Journal_article,Medicago_sativa,,Lutein,Lutein,Carotenoid,Terpenoid,121.2,10.17,mg.kgDM,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
56,Mattioli_et_al.2016,Journal_article,Medicago_sativa,,Zeaxanthin,Zeaxanthin,Carotenoid,Terpenoid,788.7,40.1,mg.kgDM,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
57,Mattioli_et_al.2016,Journal_article,Medicago_sativa,,B_carotene,B_carotene,Carotenoid,Terpenoid,152.1,10.5,mg.kgDM,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
58,Mattioli_et_al.2016,Journal_article,Medicago_sativa,,Total_carotenids,Total_carotenids,Carotenoid,Terpenoid,1063,70.9,mg.kgDM,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
59,Mattioli_et_al.2016,Journal_article,Medicago_sativa,,Secoisolariciresinol_diglucoside,Secoisolariciresinol_diglucoside,Lignan,Polyphenol,28.2,1,mg.100g,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
60,Mattioli_et_al.2016,Journal_article,Medicago_sativa,,Isolariciresinol,Isolariciresinol,Lignan,Polyphenol,6.25,1.8,mg.100g,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
61,Mattioli_et_al.2016,Journal_article,Medicago_sativa,,Hydroxymatairesinol ,Hydroxymatairesinol ,Lignan,Polyphenol,3.3,0.7,mg.100g,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
62,Mattioli_et_al.2016,Journal_article,Medicago_sativa,,Secoisolariciresinol,Secoisolariciresinol,Lignan,Polyphenol,5.9,1,mg.100g,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
63,Mattioli_et_al.2016,Journal_article,Medicago_sativa,,Matairesinol,Matairesinol,Lignan,Polyphenol,1.25,0.3,mg.100g,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
64,Mattioli_et_al.2016,Journal_article,Medicago_sativa,,Coumestrol,Coumestrol,Coumarin,Phytoestrogen,6.8,0.8,mg.100g,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
65,Mattioli_et_al.2016,Journal_article,Medicago_sativa,,Daidzein,Daidzein,Isoflavonoid,Phytoestrogen,22.2,1.2,mg.100g,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
66,Mattioli_et_al.2016,Journal_article,Medicago_sativa,,Genistein,Genistein,Isoflavonoid,Phytoestrogen,nd,nd,mg.100g,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
67,Mattioli_et_al.2016,Journal_article,Medicago_sativa,,Glycitein,Glycitein,Isoflavonoid,Phytoestrogen,nd,nd,mg.100g,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
68,Mattioli_et_al.2016,Journal_article,Medicago_sativa,,B_sitosterol,B_sitosterol,Sterol,Sterol,33.07,1.23,mg.100g,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
69,Mattioli_et_al.2016,Journal_article,Medicago_sativa,,Stigmasterol,Stigmasterol,Sterol,Sterol,84.56,5.46,mg.100g,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
70,Mattioli_et_al.2016,Journal_article,Medicago_sativa,,Campesterol,Campesterol,Sterol,Sterol,nd,nd,mg.100g,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
71,Mattioli_et_al.2016,Journal_article,Medicago_sativa,,Avenasterol,Avenasterol,Sterol,Sterol,38.55,3.84,mg.100g,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
72,Mattioli_et_al.2016,Journal_article,Medicago_sativa,,Brassicasterol,Brassicasterol,Sterol,Sterol,nd,nd,mg.100g,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
73,Mattioli_et_al.2016,Journal_article,Medicago_sativa,,Total_sterol,Total_sterol,Sterol,Sterol,237.57,286.67,mg.100g,sprout,sprout,HPLC_ECD,Summer,Italy,2013,0.124,,,,
74,Dal_Bossco_et_al.2015,Journal_article,Medicago_sativa,Unknown,a_tocopherol,a_tocopherol,Vitamin,Organic_compound,47,3.08,ug.g,sprout,sprout,HPLC_ECD,Unknown,Italy,,0.102,,3,,
75,Dal_Bossco_et_al.2015,Journal_article,Medicago_sativa,Unknown,y_tocopherol,y_tocopherol,Vitamin,Organic_compound,5.36,1.01,ug.g,sprout,sprout,HPLC_ECD,Unknown,Italy,,0.102,,3,,
76,Dal_Bossco_et_al.2015,Journal_article,Medicago_sativa,Unknown,Retinol,Retinol,Vitamin,Organic_compound,11.6,2.14,ug.g,sprout,sprout,HPLC_ECD,Unknown,Italy,,0.102,,3,,
77,Dal_Bossco_et_al.2015,Journal_article,Medicago_sativa,,B_carotene,B_carotene,Carotenoid,Terpenoid,19.6,3.12,ug.g,sprout,sprout,HPLC_ECD,Unknown,Italy,,0.102,,3,,
78,Dal_Bossco_et_al.2015,Journal_article,Medicago_sativa,,luetin+Zeaxanthin,Luetin+Zeaxanthin,Carotenoid,Terpenoid,114.1,20.1,ug.g,sprout,sprout,HPLC_ECD,Unknown,Italy,,0.102,,3,,
79,Dal_Bossco_et_al.2015,Journal_article,Medicago_sativa,,Secoisolariciresinol_diglucoside,Secoisolariciresinol_diglucoside,Lignan,Polyphenol,29.3,1.06,mg.100g,sprout,sprout,HPLC_ECD,Unknown,Italy,,0.102,,3,,
80,Dal_Bossco_et_al.2015,Journal_article,Medicago_sativa,,Isolariciresinol,Isolariciresinol,Lignan,Polyphenol,4.03,0.28,mg.100g,sprout,sprout,HPLC_ECD,Unknown,Italy,,0.102,,3,,
81,Dal_Bossco_et_al.2015,Journal_article,Medicago_sativa,,Hydroxymatairesinol ,Hydroxymatairesinol ,Lignan,Polyphenol,2.08,0.27,mg.100g,sprout,sprout,HPLC_ECD,Unknown,Italy,,0.102,,3,,
82,Dal_Bossco_et_al.2015,Journal_article,Medicago_sativa,,Secoisolariciresinol,Secoisolariciresinol,Lignan,Polyphenol,6.14,0.42,mg.100g,sprout,sprout,HPLC_ECD,Unknown,Italy,,0.102,,3,,
83,Dal_Bossco_et_al.2015,Journal_article,Medicago_sativa,,Matairesinol,Matairesinol,Lignan,Polyphenol,nd,nd,mg.100g,sprout,sprout,HPLC_ECD,Unknown,Italy,,0.102,,3,,
84,Dal_Bossco_et_al.2015,Journal_article,Medicago_sativa,,Daidzein,Daidzein,Isoflavonoid,Phytoestrogen,23.3,2.42,mg.100g,sprout,sprout,HPLC_ECD,Unknown,Italy,,0.102,,3,,
85,Dal_Bossco_et_al.2015,Journal_article,Medicago_sativa,,Coumestrol,Coumestrol,Coumarin,Phytoestrogen,8.2,0.53,mg.100g,sprout,sprout,HPLC_ECD,Unknown,Italy,,0.102,,3,,
86,Yang_et_al.2021,Journal_article,Medicago_sativa,FSG_420LH,Isoprene,Isoprene,Monoterpenoid,Terpenoid,0.34,0.04,mean_area10^6,aerial,aerial,SPME_GC_MS,Unknown,Korea,,,,4,DVB/CAR/PDMS,
87,Yang_et_al.2021,Journal_article,Medicago_sativa,FSG_420LH,(+)-(R)-Limonene,Limonene,Monoterpenoid,Terpenoid,0.34,0.01,mean_area10^6,aerial,aerial,SPME_GC_MS,Unknown,Korea,,,,4,DVB/CAR/PDMS,
88,Yang_et_al.2021,Journal_article,Medicago_sativa,FSG_420LH,cis_Linalool_oxide,Linalool,Monoterpenoid,Terpenoid,0.47,0.07,mean_area10^6,aerial,aerial,SPME_GC_MS,Unknown,Korea,,,,4,DVB/CAR/PDMS,
89,Yang_et_al.2021,Journal_article,Medicago_sativa,FSG_420LH,B_Linalool,Linalool,Monoterpenoid,Terpenoid,0.51,0.01,mean_area10^6,aerial,aerial,SPME_GC_MS,Unknown,Korea,,,,4,DVB/CAR/PDMS,
90,Yang_et_al.2021,Journal_article,Medicago_sativa,FSG_420LH,p_Menthen4ol,Menthenol,Monoterpenoid,Terpenoid,0.66,0.06,mean_area10^6,aerial,aerial,SPME_GC_MS,Unknown,Korea,,,,4,DVB/CAR/PDMS,
91,Yang_et_al.2021,Journal_article,Medicago_sativa,FSG_420LH,a_Terpinol,alpha_Terpinol,Monoterpenoid,Terpenoid,0.13,0.01,mean_area10^6,aerial,aerial,SPME_GC_MS,Unknown,Korea,,,,4,DVB/CAR/PDMS,
92,Yang_et_al.2021,Journal_article,Medicago_sativa,FSG_420LH,B_Cyclocitral,beta_Cyclocitral,Monoterpenoid,Terpenoid,0.2,0.03,mean_area10^6,aerial,aerial,SPME_GC_MS,Unknown,Korea,,,,4,DVB/CAR/PDMS,
93,Yang_et_al.2021,Journal_article,Medicago_sativa,FSG_420LH,B_Damascenone,beta_Damascenone,Monoterpenoid,Terpenoid,0.29,0.01,mean_area10^6,aerial,aerial,SPME_GC_MS,Unknown,Korea,,,,4,DVB/CAR/PDMS,
94,Yang_et_al.2021,Journal_article,Medicago_sativa,FSG_420LH,Total_terpenoids,Total_terpenoids,Terpenoid,Terpenoid,0.15,,rel_prop_volatile_metab,aerial,stem,SPME_GC_MS,Unknown,Korea,,,,4,DVB/CAR/PDMS,
95,Yang_et_al.2021,Journal_article,Medicago_sativa,FSG_420LH,Total_terpenoids,Total_terpenoids,Terpenoid,Terpenoid,0.05,,rel_prop_volatile_metab,aerial,trichome,SPME_GC_MS,Unknown,Korea,,,,4,DVB/CAR/PDMS,
96,Yang_et_al.2021,Journal_article,Medicago_sativa,FSG_420LH,Total_terpenoids,Total_terpenoids,Terpenoid,Terpenoid,0.05,,rel_prop_volatile_metab,aerial,leaf,SPME_GC_MS,Unknown,Korea,,,,4,DVB/CAR/PDMS,
97,Taujenis_et_al.2015,Journal_article,Medicago_sativa,,Coumestrol,Coumestrol,Coumarin,Phytoestrogen,0.027,5.70%,mg.gDM,aerial,aerial,HPLC_MS,Autumn,Lithuania,2014,,,3,,
98,Taujenis_et_al.2015,Journal_article,Medicago_sativa,,Coumestrol,Coumestrol,Coumarin,Phytoestrogen,0.019,7.50%,mg.gDM,aerial,aerial,HPLC_MS,Autumn,Lithuania,2014,,,3,,
99,Taujenis_et_al.2015,Journal_article,Medicago_lupulina,,Coumestrol,Coumestrol,Coumarin,Phytoestrogen,0.032,6.40%,mg.gDM,aerial,aerial,HPLC_MS,Autumn,Lithuania,2014,,,3,,
100,Al_Suod_et_al.2017,Journal_article,Medicago_sativa,,D_Pinitol,Pinitol,Cyclitols,Polyphenol,4.42,0.16,mg.gDM,aerial,leaf,GC_MS,Summer,Poland,2016,,,3,,
101,Al_Suod_et_al.2017,Journal_article,Medicago_sativa,,D_chiro_inositol,Inositol_isomer,Cyclitols,Polyphenol,0.33,0.002,mg.gDM,aerial,leaf,GC_MS,Summer,Poland,2016,,,3,,
102,Al_Suod_et_al.2017,Journal_article,Medicago_sativa,,Myo_inositol,Inositol_isomer,Cyclitols,Polyphenol,0.05,0.001,mg.gDM,aerial,leaf,GC_MS,Summer,Poland,2016,,,3,,
103,Al_Suod_et_al.2017,Journal_article,Medicago_sativa,,Scyllo_inositol,Inositol_isomer,Cyclitols,Polyphenol,0.12,0.006,mg.gDM,aerial,leaf,GC_MS,Summer,Poland,2016,,,3,,
104,Al_Suod_et_al.2017,Journal_article,Medicago_sativa,,D_Pinitol,Pinitol,Cyclitols,Polyphenol,12.29,1.518,mg.gDM,aerial,stem,GC_MS,Summer,Poland,2016,,,3,,
105,Al_Suod_et_al.2017,Journal_article,Medicago_sativa,,D_chiro_inositol,Inositol_isomer,Cyclitols,Polyphenol,0.033,0.005,mg.gDM,aerial,stem,GC_MS,Summer,Poland,2016,,,3,,
106,Al_Suod_et_al.2017,Journal_article,Medicago_sativa,,Myo_inositol,Inositol_isomer,Cyclitols,Polyphenol,0.03,0.004,mg.gDM,aerial,stem,GC_MS,Summer,Poland,2016,,,3,,
107,Al_Suod_et_al.2017,Journal_article,Medicago_sativa,,Scyllo_inositol,Inositol_isomer,Cyclitols,Polyphenol,,,mg.gDM,aerial,stem,GC_MS,Summer,Poland,2016,,,3,,
108,Al_Suod_et_al.2017,Journal_article,Medicago_sativa,,D_Pinitol,Pinitol,Cyclitols,Polyphenol,9.84,0.222,mg.gDM,rep.parts,rep.parts,GC_MS,Summer,Poland,2016,,,3,,
109,Al_Suod_et_al.2017,Journal_article,Medicago_sativa,,D_chiro_inositol,Inositol_isomer,Cyclitols,Polyphenol,0.05,0.003,mg.gDM,rep.parts,rep.parts,GC_MS,Summer,Poland,2016,,,3,,
110,Al_Suod_et_al.2017,Journal_article,Medicago_sativa,,Myo_inositol,Inositol_isomer,Cyclitols,Polyphenol,0.03,0.002,mg.gDM,rep.parts,rep.parts,GC_MS,Summer,Poland,2016,,,3,,
111,Al_Suod_et_al.2017,Journal_article,Medicago_sativa,,Scyllo_inositol,Inositol_isomer,Cyclitols,Polyphenol,,,mg.gDM,rep.parts,rep.parts,GC_MS,Summer,Poland,2016,,,3,,
112,Al_Suod_et_al.2017,Journal_article,Medicago_sativa,,D_Pinitol,D_Pinitol,Cyclitols,Polyphenol,13.86,1.501,mg.gDM,root,root,GC_MS,Summer,Poland,2016,,,3,,
113,Al_Suod_et_al.2017,Journal_article,Medicago_sativa,,D_chiro_inositol,Inositol_isomer,Cyclitols,Polyphenol,0.62,0.034,mg.gDM,root,root,GC_MS,Summer,Poland,2016,,,3,,
114,Al_Suod_et_al.2017,Journal_article,Medicago_sativa,,Myo_inositol,Inositol_isomer,Cyclitols,Polyphenol,0.33,0.016,mg.gDM,root,root,GC_MS,Summer,Poland,2016,,,3,,
115,Al_Suod_et_al.2017,Journal_article,Medicago_sativa,,Scyllo_inositol,Inositol_isomer,Cyclitols,Polyphenol,,,mg.gDM,root,root,GC_MS,Summer,Poland,2016,,,3,,
116,Wyse_et_al.2021,Journal_article,Medicago_sativa,Force5,Coumestrol,Coumestrol,Coumarin,Phytoestrogen,73,32.7,mg.kgDM,aerial,aerial,HPLC,Unknown,Australia(NSW),,,,6,Semi_winterDormant_5,
117,Wyse_et_al.2021,Journal_article,Medicago_sativa,Force5,3'Methoxycoumestrol,Coumestrol,Coumarin,Phytoestrogen,4.1,1.5,mg.kgDM,aerial,aerial,HPLC,Unknown,Australia(NSW),,,,6,Semi_winterDormant_5,
118,Wyse_et_al.2021,Journal_article,Medicago_sativa,Force5,4'Methoxycoumestrol,Coumestrol,Coumarin,Phytoestrogen,14.9,3.2,mg.kgDM,aerial,aerial,HPLC,Unknown,Australia(NSW),,,,6,Semi_winterDormant_5,
119,Wyse_et_al.2021,Journal_article,Medicago_sativa,Force5,Daidzein,Daidzein,Isoflavonoid,Phytoestrogen,32.8,21.3,mg.kgDM,aerial,aerial,HPLC,Unknown,Australia(NSW),,,,6,Semi_winterDormant_5,
120,Wyse_et_al.2021,Journal_article,Medicago_sativa,Force5,Formononetin,Formononetin,Isoflavonoid,Phytoestrogen,50.7,36,mg.kgDM,aerial,aerial,HPLC,Unknown,Australia(NSW),,,,6,Semi_winterDormant_5,
121,Wyse_et_al.2021,Journal_article,Medicago_sativa,Force5,Genistein,Genistein,Isoflavonoid,Phytoestrogen,32.1,78.5,mg.kgDM,aerial,aerial,HPLC,Unknown,Australia(NSW),,,,6,Semi_winterDormant_5,
122,Wyse_et_al.2021,Journal_article,Medicago_sativa,Aurora,Coumestrol,Coumestrol,Coumarin,Phytoestrogen,4.1,1.6,mg.kgDM,aerial,aerial,HPLC,Unknown,Australia(NSW),,,,6,Semi_winterDormant_6,
